No --seed given; using freshly-generated seed=769518776 (saved to runs/gemini-2.5-flash/run_meta.json -- pass --seed 769518776 to reproduce, or just resume against this same --out-dir).
[230/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=literal persona_context=same rep=9 -- ok
[231/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=story persona_context=same rep=0 -- ok
[232/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=story persona_context=same rep=4 -- ok
[233/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=story persona_context=same rep=3 -- ok
[234/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=story persona_context=same rep=2 -- ok
[235/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=story persona_context=same rep=9 -- API error
[236/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=literal persona_context=same rep=0 -- API error
[237/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=literal persona_context=same rep=1 -- API error
[238/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=literal persona_context=same rep=8 -- API error
[239/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=literal persona_context=same rep=2 -- API error
[240/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=literal persona_context=same rep=3 -- API error
[241/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=literal persona_context=same rep=4 -- API error
[242/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=literal persona_context=same rep=5 -- API error
[243/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=literal persona_context=same rep=6 -- API error
[244/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=story persona_context=same rep=7 -- API error
[245/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=literal persona_context=same rep=7 -- API error
[246/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=literal persona_context=same rep=8 -- API error
[247/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=literal persona_context=same rep=9 -- API error
[248/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=story persona_context=same rep=0 -- API error
[249/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=story persona_context=same rep=1 -- API error
[250/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=story persona_context=same rep=2 -- API error
[251/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=story persona_context=same rep=3 -- API error
[252/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=story persona_context=same rep=8 -- API error
[253/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=story persona_context=same rep=4 -- API error
[254/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=story persona_context=same rep=5 -- API error
[255/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=story persona_context=same rep=6 -- API error
[256/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=story persona_context=same rep=7 -- API error
[257/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=story persona_context=same rep=5 -- ok
[258/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=story persona_context=same rep=8 -- API error
[259/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cooperator framing=story persona_context=same rep=9 -- API error
[260/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=literal persona_context=same rep=0 -- API error
[261/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=literal persona_context=same rep=1 -- API error
[262/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=literal persona_context=same rep=2 -- API error
[263/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=literal persona_context=same rep=3 -- API error
[264/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=literal persona_context=same rep=4 -- API error
[265/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=literal persona_context=same rep=5 -- API error
[266/400 pending, 400 total] model=google/gemini-2.5-flash persona=altruist opponent=detective framing=story persona_context=same rep=6 -- API error
[267/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=literal persona_context=same rep=6 -- API error
[268/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=literal persona_context=same rep=7 -- API error
[269/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=literal persona_context=same rep=8 -- API error
[270/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=literal persona_context=same rep=9 -- API error
[271/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=story persona_context=same rep=0 -- API error
[272/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=story persona_context=same rep=1 -- API error
[273/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=story persona_context=same rep=2 -- API error
[274/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=story persona_context=same rep=3 -- API error
[275/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=story persona_context=same rep=4 -- API error
[276/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=story persona_context=same rep=5 -- API error
[277/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=story persona_context=same rep=6 -- API error
[278/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=story persona_context=same rep=7 -- API error
[279/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=story persona_context=same rep=8 -- API error
[280/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=cheater framing=story persona_context=same rep=9 -- API error
[281/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=literal persona_context=same rep=0 -- API error
[282/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=literal persona_context=same rep=1 -- API error
[283/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=literal persona_context=same rep=2 -- API error
[284/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=literal persona_context=same rep=3 -- API error
[285/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=literal persona_context=same rep=4 -- API error
[286/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=literal persona_context=same rep=5 -- API error
[287/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=literal persona_context=same rep=6 -- API error
[288/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=literal persona_context=same rep=7 -- API error
[289/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=literal persona_context=same rep=8 -- API error
[290/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=literal persona_context=same rep=9 -- API error
[291/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=story persona_context=same rep=0 -- API error
[292/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=story persona_context=same rep=1 -- API error
[293/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=story persona_context=same rep=2 -- API error
[294/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=story persona_context=same rep=3 -- API error
[295/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=story persona_context=same rep=4 -- API error
[296/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=story persona_context=same rep=5 -- API error
[297/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=story persona_context=same rep=6 -- API error
[298/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=story persona_context=same rep=7 -- API error
[299/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=story persona_context=same rep=8 -- API error
[300/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=copycat framing=story persona_context=same rep=9 -- API error
[301/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=literal persona_context=same rep=0 -- API error
[302/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=literal persona_context=same rep=1 -- API error
[303/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=literal persona_context=same rep=2 -- API error
[304/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=literal persona_context=same rep=3 -- API error
[305/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=literal persona_context=same rep=4 -- API error
[306/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=literal persona_context=same rep=5 -- API error
[307/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=literal persona_context=same rep=6 -- API error
[308/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=literal persona_context=same rep=7 -- API error
[309/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=literal persona_context=same rep=8 -- API error
[310/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=literal persona_context=same rep=9 -- API error
[311/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=story persona_context=same rep=0 -- API error
[312/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=story persona_context=same rep=1 -- API error
[313/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=story persona_context=same rep=2 -- API error
[314/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=story persona_context=same rep=3 -- API error
[315/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=story persona_context=same rep=4 -- API error
[316/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=literal persona_context=same rep=0 -- API error
[317/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=story persona_context=same rep=5 -- API error
[318/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=literal persona_context=same rep=1 -- API error
[319/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=story persona_context=same rep=6 -- API error
[320/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=literal persona_context=same rep=2 -- API error
[321/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=literal persona_context=same rep=3 -- API error
[322/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=literal persona_context=same rep=4 -- API error
[323/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=story persona_context=same rep=7 -- API error
[324/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=literal persona_context=same rep=5 -- API error
[325/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=literal persona_context=same rep=6 -- API error
[326/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=literal persona_context=same rep=7 -- API error
[327/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=story persona_context=same rep=8 -- API error
[328/400 pending, 400 total] model=google/gemini-2.5-flash persona=saboteur opponent=detective framing=story persona_context=same rep=9 -- API error
[329/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=literal persona_context=same rep=8 -- API error
[330/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=literal persona_context=same rep=9 -- API error
[331/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=story persona_context=same rep=0 -- API error
[332/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=story persona_context=same rep=1 -- API error
[333/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=story persona_context=same rep=2 -- API error
[334/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=story persona_context=same rep=3 -- API error
[335/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=story persona_context=same rep=4 -- API error
[336/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=story persona_context=same rep=5 -- API error
[337/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=story persona_context=same rep=6 -- API error
[338/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=story persona_context=same rep=7 -- API error
[339/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=story persona_context=same rep=8 -- API error
[340/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cooperator framing=story persona_context=same rep=9 -- API error
[341/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=literal persona_context=same rep=0 -- API error
[342/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=literal persona_context=same rep=1 -- API error
[343/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=literal persona_context=same rep=2 -- API error
[344/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=literal persona_context=same rep=3 -- API error
[345/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=literal persona_context=same rep=4 -- API error
[346/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=literal persona_context=same rep=5 -- API error
[347/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=literal persona_context=same rep=6 -- API error
[348/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=literal persona_context=same rep=7 -- API error
[349/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=literal persona_context=same rep=8 -- API error
[350/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=literal persona_context=same rep=9 -- API error
[351/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=story persona_context=same rep=0 -- API error
[352/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=story persona_context=same rep=1 -- API error
[353/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=story persona_context=same rep=2 -- API error
[354/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=story persona_context=same rep=3 -- API error
[355/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=story persona_context=same rep=4 -- API error
[356/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=story persona_context=same rep=5 -- API error
[357/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=story persona_context=same rep=6 -- API error
[358/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=story persona_context=same rep=7 -- API error
[359/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=story persona_context=same rep=8 -- API error
[360/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=cheater framing=story persona_context=same rep=9 -- API error
[361/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=literal persona_context=same rep=0 -- API error
[362/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=literal persona_context=same rep=1 -- API error
[363/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=literal persona_context=same rep=2 -- API error
[364/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=literal persona_context=same rep=3 -- API error
[365/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=literal persona_context=same rep=4 -- API error
[366/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=literal persona_context=same rep=5 -- API error
[367/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=literal persona_context=same rep=6 -- API error
[368/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=literal persona_context=same rep=7 -- API error
[369/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=literal persona_context=same rep=8 -- API error
[370/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=literal persona_context=same rep=9 -- API error
[371/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=story persona_context=same rep=0 -- API error
[372/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=story persona_context=same rep=1 -- API error
[373/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=story persona_context=same rep=2 -- API error
[374/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=story persona_context=same rep=3 -- API error
[375/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=story persona_context=same rep=4 -- API error
[376/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=story persona_context=same rep=5 -- API error
[377/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=story persona_context=same rep=6 -- API error
[378/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=story persona_context=same rep=7 -- API error
[379/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=story persona_context=same rep=8 -- API error
[380/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=copycat framing=story persona_context=same rep=9 -- API error
[381/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=literal persona_context=same rep=0 -- API error
[382/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=literal persona_context=same rep=1 -- API error
[383/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=literal persona_context=same rep=2 -- API error
[384/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=literal persona_context=same rep=3 -- API error
[385/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=literal persona_context=same rep=4 -- API error
[386/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=literal persona_context=same rep=5 -- API error
[387/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=literal persona_context=same rep=6 -- API error
[388/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=literal persona_context=same rep=7 -- API error
[389/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=literal persona_context=same rep=8 -- API error
[390/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=literal persona_context=same rep=9 -- API error
[391/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=story persona_context=same rep=0 -- API error
[392/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=story persona_context=same rep=1 -- API error
[393/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=story persona_context=same rep=2 -- API error
[394/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=story persona_context=same rep=3 -- API error
[395/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=story persona_context=same rep=4 -- API error
[396/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=story persona_context=same rep=5 -- API error
[397/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=story persona_context=same rep=6 -- API error
[398/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=story persona_context=same rep=7 -- API error
[399/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=story persona_context=same rep=8 -- API error
[400/400 pending, 400 total] model=google/gemini-2.5-flash persona=consultant opponent=detective framing=story persona_context=same rep=9 -- API error
Done. Results under runs/gemini-2.5-flash
exit=0
ERROR: set OPENROUTER_API_KEY first (or pass --base-url for a local server like Ollama that doesn't need a key).
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=0 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=1 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=2 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=3 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=4 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=5 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=6 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=7 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=8 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=9 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=0 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=1 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=2 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=3 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=4 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=5 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=6 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=7 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=8 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=9 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=0 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=1 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=2 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=3 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=4 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=5 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=6 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=7 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=8 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=9 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=0 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=1 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=2 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=3 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=4 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=5 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=6 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=7 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=8 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=9 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=0 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=1 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=2 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=3 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=4 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=5 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=6 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=7 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=8 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=9 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=0 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=1 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=2 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=3 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=4 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=5 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=6 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=7 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=8 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=story persona_context=same rep=9 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=literal persona_context=same rep=0 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=literal persona_context=same rep=1 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=literal persona_context=same rep=2 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=literal persona_context=same rep=3 -- already completed
[skip] model=google/gemini-2.5-flash persona=baseline opponent=detective framing=literal persona_context=same rep=4 -- already completed
